"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"LATITUDE";"LONGITUDE";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ODV-00026";"ODV-00026-02";"Potência Normal Médio";"Em uso";"Odivelas";"Estrada da Paiã - Strada Outlet";"38.781751";"-9.192889";"ATL - Atlante";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Em uso";"2026-01-31T14:27:39.677Z"
"ODV-00027";"ODV-00027-01";"Potência Normal Médio";"Disponível";"Odivelas";"Estrada da Paiã - Strada Outlet";"38.781751";"-9.192889";"ATL - Atlante";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Disponível";"2026-01-31T14:27:11.521Z"
"ODV-00027";"ODV-00027-02";"Potência Normal Médio";"Disponível";"Odivelas";"Estrada da Paiã - Strada Outlet";"38.781751";"-9.192889";"ATL - Atlante";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Em uso";"2026-01-31T14:27:11.521Z"
"ODV-00028";"ODV-00028-01";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Casal do Troca, Estr. da Paiã Lisboa";"38.7827217";"-9.1921861";"HRZ - Powerdot";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"200";"Disponível";"2026-01-31T15:40:52.012Z"
"ODV-00028";"ODV-00028-02";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Casal do Troca, Estr. da Paiã Lisboa";"38.7827217";"-9.1921861";"HRZ - Powerdot";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"200";"Em uso";"2026-01-31T15:40:52.012Z"
"ODV-00028";"ODV-00028-03";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Casal do Troca, Estr. da Paiã Lisboa";"38.7827217";"-9.1921861";"HRZ - Powerdot";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"200";"Disponível";"2026-01-31T15:40:52.012Z"
"ODV-00028";"ODV-00028-04";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Casal do Troca, Estr. da Paiã Lisboa";"38.7827217";"-9.1921861";"HRZ - Powerdot";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"200";"Em uso";"2026-01-31T15:40:52.012Z"
"ODV-00029";"ODV-00029-01";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"EST. NAC. 250/2  KM 0,600";"38.806574";"-9.2003474";"CPS - Moeve";"Não";"Média Tensão";"CCS";"CABLE";"300";"Disponível";"2026-01-31T15:39:29.739Z"
"ODV-00029";"ODV-00029-02";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"EST. NAC. 250/2  KM 0,600";"38.806574";"-9.2003474";"CPS - Moeve";"Não";"Média Tensão";"CCS";"CABLE";"300";"Em uso";"2026-01-31T15:39:29.739Z"
"ODV-00033";"ODV-00033-01";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Rua Major Rosa Bastos (EN 250 ao Km 19,5)";"38.8105123";"-9.2341513";"FCT - Iberdrola | BP Pulse";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"150";"Disponível";"2026-01-31T15:40:35.887Z"
"ODV-00033";"ODV-00033-02";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Rua Major Rosa Bastos (EN 250 ao Km 19,5)";"38.8105123";"-9.2341513";"FCT - Iberdrola | BP Pulse";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"80";"Disponível";"2026-01-31T15:40:35.887Z"
"ODV-00033";"ODV-00033-03";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Rua Major Rosa Bastos (EN 250 ao Km 19,5)";"38.8105123";"-9.2341513";"FCT - Iberdrola | BP Pulse";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"150";"Disponível";"2026-01-31T15:40:35.887Z"
"ODV-00035";"ODV-00035-01";"Alta Potência Ultrarrápido";"Em uso";"Odivelas";"Alameda Silva Porto,  Famões";"38.7904046";"-9.2142984";"PRI - Prio";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"180";"Em uso";"2026-01-31T15:38:54.979Z"
"ODV-00035";"ODV-00035-02";"Alta Potência Ultrarrápido";"Em uso";"Odivelas";"Alameda Silva Porto,  Famões";"38.7904046";"-9.2142984";"PRI - Prio";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"180";"Em uso";"2026-01-31T15:38:54.979Z"
"ODV-00037";"ODV-00037-01";"Alta Potência Rápido";"Em uso";"Odivelas";"R. Heróis de Chaimite 16,  Odivelas";"38.7961718";"-9.169316";"PRI - Prio";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Em uso";"2026-01-31T15:40:36.744Z"
"ODV-00038";"ODV-00038-01";"Alta Potência Ultrarrápido";"Em uso";"Odivelas";"R. Heróis de Chaimite 16,  Odivelas";"38.7962546";"-9.1692988";"PRI - Prio";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"150";"Em uso";"2026-01-31T15:40:20.928Z"
"ODV-00038";"ODV-00038-02";"Alta Potência Ultrarrápido";"Em uso";"Odivelas";"R. Heróis de Chaimite 16,  Odivelas";"38.7962546";"-9.1692988";"PRI - Prio";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"150";"Em uso";"2026-01-31T15:40:20.928Z"
"ODV-00039";"ODV-00039-01";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Rua General Roçadas. Rotunda EN8";"38.793123";"-9.168432";"FCT - Iberdrola | BP Pulse";"Não";"Média Tensão";"CCS";"CABLE";"200";"Disponível";"2026-01-31T15:40:40.824Z"
"ODV-00039";"ODV-00039-02";"Alta Potência Ultrarrápido";"Disponível";"Odivelas";"Rua General Roçadas. Rotunda EN8";"38.793123";"-9.168432";"FCT - Iberdrola | BP Pulse";"Não";"Média Tensão";"CCS";"CABLE";"200";"Em uso";"2026-01-31T15:40:40.824Z"
